,mean_decrease_in_ROC_AUC
Glucose,0.10094444444444436
BMI,0.045481481481481435
Age,0.01801851851851849
DiabetesPedigreeFunction,0.009740740740740684
Pregnancies,0.0060370370370370074
Insulin,0.004574074074074041
BloodPressure,0.0012037037037036734
SkinThickness,0.0003148148148147567
